normalized_artists,normalized_title,source_position,video_id,video_url,candidate_rank,candidate_score,candidate_variant,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness
Deftones,my mind is a mountain,43,aLjJ8iwG8UU,https://music.youtube.com/watch?v=aLjJ8iwG8UU,3,0.6592,title_first2,w1gEg,My Mind,Swindle,https://getsongbpm.com/song/my-mind/w1gEg,93,4/4,B,minor,3m,62,3
Marilyn Manson,Tainted Love,45,WPlO_iEWFQc,https://music.youtube.com/watch?v=WPlO_iEWFQc,1,0.7771,title_only,VQlJo,Tainted Love,My Ruin,https://getsongbpm.com/song/tainted-love/VQlJo,134,4/4,G,minor,11m,63,5
Marilyn Manson,Tainted Love,45,WPlO_iEWFQc,https://music.youtube.com/watch?v=WPlO_iEWFQc,2,0.7709,title_only,RgL3z,Tainted Love,Atrocity,https://getsongbpm.com/song/tainted-love/RgL3z,143,4/4,F,minor,9m,47,1
Marilyn Manson,Tainted Love,45,WPlO_iEWFQc,https://music.youtube.com/watch?v=WPlO_iEWFQc,3,0.7686,title_only,LAlKW,Tainted Love,The Flying Pickets,https://getsongbpm.com/song/tainted-love/LAlKW,76,4/4,G#,major,9d,66,67
Nirvana,You Know You're Right,46,F2zJDTL6dh8,https://music.youtube.com/watch?v=F2zJDTL6dh8,1,0.7480,title_only,99QN3x,You Know You're Right,Spirit Animal,https://getsongbpm.com/song/you-know-you-re-right/99QN3x,,,,minor,,,
Nirvana,You Know You're Right,46,F2zJDTL6dh8,https://music.youtube.com/watch?v=F2zJDTL6dh8,2,0.7158,title_only,MjmZoP,You Know You're Right,Erika Stucky,https://getsongbpm.com/song/you-know-you-re-right/MjmZoP,80,4/4,A#,major,11d,65,95
Nirvana,You Know You're Right,46,F2zJDTL6dh8,https://music.youtube.com/watch?v=F2zJDTL6dh8,3,0.6832,title_first2,N11yD,You Know,John Martyn,https://getsongbpm.com/song/you-know/N11yD,91,4/4,C,major,1d,74,45
Alice In Chains,Nutshell,48,_siJRgDlddY,https://music.youtube.com/watch?v=_siJRgDlddY,1,0.7300,title_only,ADB091,Nutshell,Acoustic Triangle,https://getsongbpm.com/song/nutshell/ADB091,125,4/4,A#,major,11d,43,99
Alice In Chains,Nutshell,48,_siJRgDlddY,https://music.youtube.com/watch?v=_siJRgDlddY,2,0.7086,title_only,ROEBJw,Nutshell,The Timmys,https://getsongbpm.com/song/nutshell/ROEBJw,169,4/4,G,minor,11m,38,1
Alice In Chains,Nutshell,48,_siJRgDlddY,https://music.youtube.com/watch?v=_siJRgDlddY,3,0.6832,title_only,mZvBzr,Nutshell Awakening,Tangerine Dream,https://getsongbpm.com/song/nutshell-awakening/mZvBzr,139,4/4,F,major,12d,33,3
