normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Marcel Pérès; Ensemble Organum,Gradual of Eleanor of Brittany: Kyrie: Orbis factor,2214,p0w8GD4y0cY,https://music.youtube.com/watch?v=p0w8GD4y0cY,not_found,0.0000,,,
Jared Dines,The Biggest Shred Collab Song in the World III,2215,3Z0c378AMYw,https://music.youtube.com/watch?v=3Z0c378AMYw,not_found,0.0000,,,
"Nocturne ""Reverie"" Op. 19",Giulio Regondi,2216,mxi9843_NUk,https://music.youtube.com/watch?v=mxi9843_NUk,not_found,0.0000,,,
Rousseau,Air (Bach),2244,SFtQoqpdrzk,https://music.youtube.com/watch?v=SFtQoqpdrzk,not_found,0.0000,,,
"The Orthodox Singers"" Male Choir, Choirmaster: Georgiy Smirnov","Verily, He Is Worthy",2275,JTb2p_N5zbc,https://music.youtube.com/watch?v=JTb2p_N5zbc,not_found,0.0000,,,
[LIVE DM] МВиПД,Какой Же Я Милый,2301,qcK2IcCy0Z0,https://music.youtube.com/watch?v=qcK2IcCy0Z0,not_found,0.0000,,,
HADREN,Shira Falkowitz & Yitzy Rosinger - Acapella הדרן ווקאלי - שירה פולקוביץ וילד הפלא,2305,gRpA7-10clI,https://music.youtube.com/watch?v=gRpA7-10clI,not_found,0.0000,,,
B’chol Yom . Yitsy Rosinger & Shira Choir,בכל יום - בביצוע ילד הפלא ייצי רוזינגר ומקהלת שירה,2306,XgzkLykUjpM,https://music.youtube.com/watch?v=XgzkLykUjpM,not_found,0.0000,,,
Freilach Band,"Meshoich - Beri Weber, Freilach & Shira Live! משוך - פריילך מארחת את וובר ושירה",2307,fOpV_6ZVlF8,https://music.youtube.com/watch?v=fOpV_6ZVlF8,not_found,0.0000,,,
Shlomo Yehuda Rechnitz,"אל הנער (feat. Motty Shteinmetz, Moishe Mendelowitz & Levi Lefkowitz)",2308,m6svdoGQnKE,https://music.youtube.com/watch?v=m6svdoGQnKE,not_found,0.0000,,,
Державний Гімн України,National Anthem of Ukraine - Rock version by Nicky Rubchenko,2320,1VCQDoYop64,https://music.youtube.com/watch?v=1VCQDoYop64,not_found,0.0000,,,
J. S. Bach: Air (Classical guitar),Per-Olov Kindgren,2326,FUPx42UmSng,https://music.youtube.com/watch?v=FUPx42UmSng,not_found,0.0000,,,
"The Orthodox Singers"" Male Choir, Choirmaster: Georgiy Smirnov",We Bow Down Before Your Cross,2329,9r6viiU5-Ss,https://music.youtube.com/watch?v=9r6viiU5-Ss,not_found,0.0000,,,
Lord Vinheteiro,9 Russian Songs You ́ve Heard And Don ́t Know The Name,2332,L-vN3x2Am6g,https://music.youtube.com/watch?v=L-vN3x2Am6g,not_found,0.0000,,,
brbr DENG... But it's tuned down (Mudvayne,Dig),2363,x0BvEE4OIi0,https://music.youtube.com/watch?v=x0BvEE4OIi0,not_found,0.0000,,,
Shira Choir,Zusha Songs,2375,zAkdAwCj78c,https://music.youtube.com/watch?v=zAkdAwCj78c,not_found,0.0000,,,
Oleg Skoblja,Poigray v ljubov,2393,hplsKo2WPz8,https://music.youtube.com/watch?v=hplsKo2WPz8,not_found,0.0000,,,
Alexandr Misko,Dubstep Guitar 2019,2394,Nr5iNLkdKmo,https://music.youtube.com/watch?v=Nr5iNLkdKmo,not_found,0.0000,,,
מוטי שטיינמץ,צאינה וראינה - ישיבה עטרת שלמה | Motty Steinmetz - Tseno Ureno,2406,O9m5e-oPl5I,https://music.youtube.com/watch?v=O9m5e-oPl5I,not_found,0.0000,,,
Shira Choir Singing New Rechnitz,Medley at Kumzits Live מקהלת שירה/ רכניץ קומזיץ,2407,MnxO7LS4gq0,https://music.youtube.com/watch?v=MnxO7LS4gq0,not_found,0.0000,,,
Jew Boys,Im Hashem Lo Yivneh Bayis,2409,evrm-rTeTNY,https://music.youtube.com/watch?v=evrm-rTeTNY,not_found,0.0000,,,
Rick-Grohl-ed,Nirvana vs Rick Astley - Never Gonna Give Your Teen Spirit up,2426,NN75im_us4k,https://music.youtube.com/watch?v=NN75im_us4k,not_found,0.0000,,,
Bitard671,Я титан (музыка без авторских прав),2429,5NxKeLeKm5U,https://music.youtube.com/watch?v=5NxKeLeKm5U,not_found,0.0000,,,
Тот самый Моисей Великанов,Я ЗНАМЕНИТОСТЬ (2018 клип),2431,fPSFmRalrcE,https://music.youtube.com/watch?v=fPSFmRalrcE,not_found,0.0000,,,
МВиПД,Универсальный Комментарий (Studio Live),2433,2sbpCbENkjo,https://music.youtube.com/watch?v=2sbpCbENkjo,not_found,0.0000,,,
МВиПД,Какой же я милый,2434,f79iXuSsUtI,https://music.youtube.com/watch?v=f79iXuSsUtI,not_found,0.0000,,,
Epic Rap Battles of History,Elon Musk vs Mark Zuckerberg,2451,XytGk-ijNJ0,https://music.youtube.com/watch?v=XytGk-ijNJ0,not_found,0.0000,,,
Shinedown,Diamond Eyes (Boom-Lay Boom-Lay Boom),2459,ZboIu0IXf44,https://music.youtube.com/watch?v=ZboIu0IXf44,not_found,0.0000,,,
New Signature 7 String,playthrough of “chronosil” - Rob Scallon,2482,5KdiDCCUHlc,https://music.youtube.com/watch?v=5KdiDCCUHlc,not_found,0.0000,,,
F.B. Piano Anime,History Maker (Yuri!!! on ICE Opening),2483,xYzS1fgBGos,https://music.youtube.com/watch?v=xYzS1fgBGos,not_found,0.0000,,,
Patrik Pietschmann,Tetris Theme (piano version),2488,Ci5squuWW3Q,https://music.youtube.com/watch?v=Ci5squuWW3Q,not_found,0.0000,,,
Soften The Glare,Making Faces (2017) (Full Album),2493,fonDsCqxxT0,https://music.youtube.com/watch?v=fonDsCqxxT0,not_found,0.0000,,,
В траве сидел Кузнечик,Во Всех Стилях | Нескучный Коллаб,2495,CINERx2q7sc,https://music.youtube.com/watch?v=CINERx2q7sc,not_found,0.0000,,,
RADIO TAPOK,Wrong Side of Heaven,2496,mRqYHeOtSUo,https://music.youtube.com/watch?v=mRqYHeOtSUo,not_found,0.0000,,,
Bassists Alliance,Forecast (Ryan Martinie & Leonid Maksimov),2503,_qScajDUBn4,https://music.youtube.com/watch?v=_qScajDUBn4,not_found,0.0000,,,
Bizet: Carmen-Toreador song,Laurent Naouri,2508,e5qmSEvDEGs,https://music.youtube.com/watch?v=e5qmSEvDEGs,not_found,0.0000,,,
The best voice in the world. Dimash Kudaibergenov,Opera 2 (2017),2510,anKmU1J0l9g,https://music.youtube.com/watch?v=anKmU1J0l9g,not_found,0.0000,,,
System Of A Down,Suggestions live【Reading Festival | 60fps】,2513,3wsW1E55eV8,https://music.youtube.com/watch?v=3wsW1E55eV8,not_found,0.0000,,,
Mudvayne,"Pharmaecopia (Live - Bass ""Emphasized"")",2519,PYXUV4Ed-Bs,https://music.youtube.com/watch?v=PYXUV4Ed-Bs,not_found,0.0000,,,
Mudvayne,Not Falling (Live Rock Am Ring 2005),2521,NkkyZjNN8XI,https://music.youtube.com/watch?v=NkkyZjNN8XI,not_found,0.0000,,,
Mudvayne,Prod and Death Blooms,2524,wQgyZToVsto,https://music.youtube.com/watch?v=wQgyZToVsto,not_found,0.0000,,,
Mudvayne,Death Blooms Live,2528,EOvAy3evU3k,https://music.youtube.com/watch?v=EOvAy3evU3k,not_found,0.0000,,,
Mudvaynefan968,Nothing To Gein [Rock Am Ring 2001],2542,iOH7TfNlMzs,https://music.youtube.com/watch?v=iOH7TfNlMzs,not_found,0.0000,,,
Rammstein,Links 2 3 4 (Live),2543,ZQlOdkCkNgI,https://music.youtube.com/watch?v=ZQlOdkCkNgI,not_found,0.0000,,,
Alex Terrible,Barbie Girl METAL VERSION,2551,1RW4HBRmY1s,https://music.youtube.com/watch?v=1RW4HBRmY1s,not_found,0.0000,,,
Остров в океане ане ане,ПРОРОК САН БОЙ (MemMusic #12),2552,rjvImL06_1k,https://music.youtube.com/watch?v=rjvImL06_1k,not_found,0.0000,,,
Mudvayne,Pharmaecopia Live [w/ Lyrics],2553,ojPbD3BIM9E,https://music.youtube.com/watch?v=ojPbD3BIM9E,not_found,0.0000,,,
Mudvayne,Severed Live [w/ Lyrics],2554,zwQQZPo3k_s,https://music.youtube.com/watch?v=zwQQZPo3k_s,not_found,0.0000,,,
Mudvayne,Nothing To Gein Live Ozzfest 2001!,2555,O2ZL2NPzWzQ,https://music.youtube.com/watch?v=O2ZL2NPzWzQ,not_found,0.0000,,,
System Of A Down,B.Y.O.B. live (HD/DVD Quality),2579,w00v2zVkX9g,https://music.youtube.com/watch?v=w00v2zVkX9g,not_found,0.0000,,,
Eiro Nareth,Interstellar Theme,2592,cslkGvmOFPg,https://music.youtube.com/watch?v=cslkGvmOFPg,not_found,0.0000,,,
Release,Big Enough Screaming Cowboy Meme (8 Bit Version),2593,c5End86ZGiA,https://music.youtube.com/watch?v=c5End86ZGiA,not_found,0.0000,,,
Epic Rap Battles of History,Rasputin vs Stalin,2602,QfQJOcdpGZQ,https://music.youtube.com/watch?v=QfQJOcdpGZQ,not_found,0.0000,,,
Alexandr Misko,Linkin Park - Numb (Old) (Alex Misko),2608,bc7JCxUlHOU,https://music.youtube.com/watch?v=bc7JCxUlHOU,not_found,0.0000,,,
E.Grieg,"Peer Gynt. Anitra's Dance . Suite No. 1, Op. 46. piano (Synthesia)",2618,BsUoOhm2_N4,https://music.youtube.com/watch?v=BsUoOhm2_N4,not_found,0.0000,,,
