normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Smother dsbm,pain agony (Dsbm),232,7CKrMkCmBsY,https://music.youtube.com/watch?v=7CKrMkCmBsY,not_found,0.0000,,,
Deftones,infinite source,235,jSNvyzsNEaQ,https://music.youtube.com/watch?v=jSNvyzsNEaQ,not_found,0.0000,,,
Wounded Masquerade,Wish you were here,237,cYiUAI1Oj_Y,https://music.youtube.com/watch?v=cYiUAI1Oj_Y,not_found,0.0000,,,
Mgła,Further Down the Nest I,238,qq9CC8z53As,https://music.youtube.com/watch?v=qq9CC8z53As,not_found,0.0000,,,
Daevar,Leviathan (feat. Jan Oberg),240,A3NcpZQQl5k,https://music.youtube.com/watch?v=A3NcpZQQl5k,not_found,0.0000,,,
nixxiu,vain,241,DcFoM0qFB6o,https://music.youtube.com/watch?v=DcFoM0qFB6o,not_found,0.0000,,,
Hideki Taniuchi,Tokei no Hari no Oto,247,M7h8XlbQ4aA,https://music.youtube.com/watch?v=M7h8XlbQ4aA,not_found,0.0000,,,
Deadspace,Pain's Grey,248,7LzF3EhLkLQ,https://music.youtube.com/watch?v=7LzF3EhLkLQ,not_found,0.0000,,,
Kra$h,"Yours Truly, Krash",255,g55E5dofoJY,https://music.youtube.com/watch?v=g55E5dofoJY,not_found,0.0000,,,
Scizzie,aquatic ambience,256,oEybvx6Fx8M,https://music.youtube.com/watch?v=oEybvx6Fx8M,not_found,0.0000,,,
Macintosh Plus,私はそれで午前ZONE,258,DK_sVdH2PwU,https://music.youtube.com/watch?v=DK_sVdH2PwU,not_found,0.0000,,,
Nujabes,Still Talking to You,259,PzW62UP8CmY,https://music.youtube.com/watch?v=PzW62UP8CmY,not_found,0.0000,,,
Tony Anderson,Pastoral,263,6r79aWeHu4Q,https://music.youtube.com/watch?v=6r79aWeHu4Q,not_found,0.0000,,,
