normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Metatron Omega,Megalosthronos,140,TP0_3JMntAc,https://music.youtube.com/watch?v=TP0_3JMntAc,not_found,0.0000,,,
Emerelle,"Evenstar (""Lord of the Rings"")",144,2GdWWPVMITc,https://music.youtube.com/watch?v=2GdWWPVMITc,not_found,0.0000,,,
FLat7,パス・トゥ・ハート - Path To Heart,153,baaDERtnt2o,https://music.youtube.com/watch?v=baaDERtnt2o,not_found,0.0000,,,
Pogomix,Boy & Bear,155,Nfh0IJikKVo,https://music.youtube.com/watch?v=Nfh0IJikKVo,manual_reject_broader,,,,
揽佬SKAI ISYOURGOD,求签,160,Jnkm6kM4Tn0,https://music.youtube.com/watch?v=Jnkm6kM4Tn0,not_found,0.0000,,,
攬佬SKAI ISYOURGOD & AR劉夫陽,大展鴻圖(Blueprint Supreme),161,yWT-UopFlAs,https://music.youtube.com/watch?v=yWT-UopFlAs,not_found,0.0000,,,
攬佬SKAI ISYOURGOD,八方來財(Stacks from All Sides),168,cUwnLvgdo5g,https://music.youtube.com/watch?v=cUwnLvgdo5g,not_found,0.0000,,,
Дмитрий Хворостовский & Санкт-Петербургский камерный хор дирижер Корнев Николай,Милость мира,180,doLscIcF4tQ,https://music.youtube.com/watch?v=doLscIcF4tQ,not_found,0.0000,,,
Misanthrop,Blod Besvimelse,183,sapvbf2CKoE,https://music.youtube.com/watch?v=sapvbf2CKoE,not_found,0.0000,,,
PATRIARKH,WIERSZALIN V,184,NGIx9z5k3Go,https://music.youtube.com/watch?v=NGIx9z5k3Go,not_found,0.0000,,,
Felix Colgrave,Infernum,185,gXuDUwfwhgI,https://music.youtube.com/watch?v=gXuDUwfwhgI,not_found,0.0000,,,
Felix Colgrave,Dead Rat,186,MGdwIdrFF20,https://music.youtube.com/watch?v=MGdwIdrFF20,not_found,0.0000,,,
Eminem,Venom (Music From The Motion Picture),189,pB-B6DUY0OY,https://music.youtube.com/watch?v=pB-B6DUY0OY,not_found,0.0000,,,
Земфира,П.М.М.Л.,197,gqXde_na_YA,https://music.youtube.com/watch?v=gqXde_na_YA,not_found,0.0000,,,
Pogo,Grover Groove,201,H5Vrom3ngSE,https://music.youtube.com/watch?v=H5Vrom3ngSE,not_found,0.0000,,,
Peppino Gagliardi,Che vuole questa musica stasera,228,0g16tSwpvwQ,https://music.youtube.com/watch?v=0g16tSwpvwQ,not_found,0.0000,,,
Smother dsbm,pain agony (Dsbm),232,7CKrMkCmBsY,https://music.youtube.com/watch?v=7CKrMkCmBsY,not_found,0.0000,,,
Deftones,infinite source,235,jSNvyzsNEaQ,https://music.youtube.com/watch?v=jSNvyzsNEaQ,not_found,0.0000,,,
nixxiu,vain,241,DcFoM0qFB6o,https://music.youtube.com/watch?v=DcFoM0qFB6o,manual_reject_broader,,,,
Hideki Taniuchi,Tokei no Hari no Oto,247,M7h8XlbQ4aA,https://music.youtube.com/watch?v=M7h8XlbQ4aA,not_found,0.0000,,,
Deadspace,Pain's Grey,248,7LzF3EhLkLQ,https://music.youtube.com/watch?v=7LzF3EhLkLQ,not_found,0.0000,,,
Patrik Pietschmann,Davy Jones (From Pirates of the Caribbean 2) (piano version),253,eGQUZ9FlUJ4,https://music.youtube.com/watch?v=eGQUZ9FlUJ4,not_found,0.0000,,,
Patrik Pietschmann,"He's a Pirate (From ""Pirates of the Caribbean"") (piano version)",254,2aBtDz87UK0,https://music.youtube.com/watch?v=2aBtDz87UK0,not_found,0.0000,,,
Kra$h,"Yours Truly, Krash",255,g55E5dofoJY,https://music.youtube.com/watch?v=g55E5dofoJY,not_found,0.0000,,,
Macintosh Plus,私はそれで午前ZONE,258,DK_sVdH2PwU,https://music.youtube.com/watch?v=DK_sVdH2PwU,not_found,0.0000,,,
Pirate Pianist,"Up Is Down (From ""Pirates of the Caribbean: At World's End“) (Piano)",260,wXXBUiqgBpQ,https://music.youtube.com/watch?v=wXXBUiqgBpQ,not_found,0.0000,,,
Pirate Pianist,"Tia Dalma (From ""Pirates of the Caribbean: Dead Man's Chest“) (Piano)",262,8gZDVNqCG8M,https://music.youtube.com/watch?v=8gZDVNqCG8M,not_found,0.0000,,,
Klaus Badelt,Swords Crossed,265,QQLErKfQ4LU,https://music.youtube.com/watch?v=QQLErKfQ4LU,not_found,0.0000,,,
Imperial Orchestra,Interstellar (Original Score),269,Vdi8c51e-ME,https://music.youtube.com/watch?v=Vdi8c51e-ME,not_found,0.0000,,,
Meshuggah,Broken Cog,273,ESgBunzLJyI,https://music.youtube.com/watch?v=ESgBunzLJyI,not_found,0.0000,,,
Black Sabbath,Changes (2009 Remaster),276,exfhPVHOZzM,https://music.youtube.com/watch?v=exfhPVHOZzM,not_found,0.0000,,,
Dying Fetus,Unbridled Fury,277,YlFFSKkGwP4,https://music.youtube.com/watch?v=YlFFSKkGwP4,not_found,0.0000,,,
Corey Taylor,Dust in the Wind (From 'Queen of the Ring - Music From The Motion Picture') (feat. Bad Omens & Aaron Gilhuis),278,sNh23f7mUiI,https://music.youtube.com/watch?v=sNh23f7mUiI,not_found,0.0000,,,
Morkt Tre,"Той, що прародитель",283,nGUlHjsCZ2Y,https://music.youtube.com/watch?v=nGUlHjsCZ2Y,not_found,0.0000,,,
Urfaust,Meditatum VI,284,4LQh6l-WGSk,https://music.youtube.com/watch?v=4LQh6l-WGSk,not_found,0.0000,,,
Black Sabbath,Changes (2021 Remaster),287,_eBCxYVma1g,https://music.youtube.com/watch?v=_eBCxYVma1g,not_found,0.0000,,,
