normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
Dope,Rebel Yell,275,dCA48NSfHuI,https://music.youtube.com/watch?v=dCA48NSfHuI,Dope,Rebel Yell,No Regrets,246,E9LZZK,Rebel Yell,Dope,https://getsongbpm.com/song/rebel-yell/E9LZZK,166,4/4,A♯m,minor,8m,33,1,1.0000,matched
Ghost,Absolution,279,qPIy9U7T_CE,https://music.youtube.com/watch?v=qPIy9U7T_CE,Ghost,Absolution,Meliora,291,E8rJqN,Absolution,Ghost,https://getsongbpm.com/song/absolution/E8rJqN,121,4/4,G,major,2d,57,1,1.0000,matched
Ghost,See The Light,280,YNOLfVAv_28,https://music.youtube.com/watch?v=YNOLfVAv_28,Ghost,See The Light,Prequelle,246,x6RxBz,See The Light,Ghost,https://getsongbpm.com/song/see-the-light/x6RxBz,178,4/4,G♯,major,9d,41,1,1.0000,matched
Planning For Burial,Whiskey and Wine,285,dShT4cyj7uo,https://music.youtube.com/watch?v=dShT4cyj7uo,Planning For Burial,Whiskey and Wine,Whiskey and Wine,251,PjLGM4,Whiskey and Wine,Planning for Burial,https://getsongbpm.com/song/whiskey-and-wine/PjLGM4,71,4/4,A,major,4d,17,1,0.9437,matched
Death,Empty Words,286,LBIFlz__1EY,https://music.youtube.com/watch?v=LBIFlz__1EY,Death,Empty Words,Symbolic,383,vj2P5,Empty Words,Death,https://getsongbpm.com/song/empty-words/vj2P5,116,3/4,D,major,3d,35,1,1.0000,matched
Staind,Right Here,288,PXu0N7Y6j0s,https://music.youtube.com/watch?v=PXu0N7Y6j0s,Staind,Right Here,Chapter V,252,4gVvJ,Right Here,Staind,https://getsongbpm.com/song/right-here/4gVvJ,112,4/4,A♯m,minor,8m,50,1,1.0000,matched
Ozzy Osbourne,Under the Graveyard,290,7MDoHOzKZ_c,https://music.youtube.com/watch?v=7MDoHOzKZ_c,Ozzy Osbourne,Under the Graveyard,Ordinary Man,298,QkVGwG,Under the Graveyard,Ozzy Osbourne,https://getsongbpm.com/song/under-the-graveyard/QkVGwG,140,4/4,C♯m,minor,5m,50,1,1.0000,matched
Deftones,Digital Bath,292,iEtJQmv7-LY,https://music.youtube.com/watch?v=iEtJQmv7-LY,Deftones,Digital Bath,White Pony,256,r0gWW,Digital Bath,Deftones,https://getsongbpm.com/song/digital-bath/r0gWW,92,4/4,Em,minor,2m,34,1,1.0000,matched
Black Label Society,A Love Unreal,296,4P7nzFMtkrQ,https://music.youtube.com/watch?v=4P7nzFMtkrQ,Black Label Society,A Love Unreal,Grimmest Hits,359,16Kn4j,A Love Unreal,Black Label Society,https://getsongbpm.com/song/a-love-unreal/16Kn4j,146,4/4,Bm,minor,3m,43,1,1.0000,matched
Ghost,Life Eternal,300,RL8Ct8dKmAk,https://music.youtube.com/watch?v=RL8Ct8dKmAk,Ghost,Life Eternal,Prequelle,208,Eqzp2m,Life Eternal,Ghost,https://getsongbpm.com/song/life-eternal/Eqzp2m,155,4/4,C♯,major,8d,45,2,1.0000,matched
Ghost,Idolatrine,301,y_YOuhz9XhU,https://music.youtube.com/watch?v=y_YOuhz9XhU,Ghost,Idolatrine,Infestissumam,264,gLAlpk,Idolatrine,Ghost,https://getsongbpm.com/song/idolatrine/gLAlpk,144,4/4,Fm,minor,9m,51,1,1.0000,matched
Bonnie Tyler,Total Eclipse of the Heart,304,fSeFxzeo5Ts,https://music.youtube.com/watch?v=fSeFxzeo5Ts,Bonnie Tyler,Total Eclipse of the Heart,Faster Than the Speed of Night,418,gZrW9,Total Eclipse of the Heart,Bonnie Tyler,https://getsongbpm.com/song/total-eclipse-of-the-heart/gZrW9,129,4/4,G♯,major,9d,44,20,1.0000,matched
Barbra Streisand,Woman in Love,305,ryGlgkvqzKE,https://music.youtube.com/watch?v=ryGlgkvqzKE,Barbra Streisand,Woman in Love,Guilty,232,y8Eqg,Woman in Love,Barbra Streisand,https://getsongbpm.com/song/woman-in-love/y8Eqg,169,4/4,D♯m,minor,7m,49,49,1.0000,matched
Clutch,The Regulator,307,WGE7GAjlV3k,https://music.youtube.com/watch?v=WGE7GAjlV3k,Clutch,The Regulator,Blast Tyrant (Deluxe Edition),326,XA40W,The Regulator,Clutch,https://getsongbpm.com/song/the-regulator/XA40W,89,4/4,G,major,2d,57,12,0.9904,matched
Serj Tankian,Empty Walls,308,e1wrSR7qGh0,https://music.youtube.com/watch?v=e1wrSR7qGh0,Serj Tankian,Empty Walls,Elect the Dead,231,L9k69r,Empty Walls,Serj Tankian,https://getsongbpm.com/song/empty-walls/L9k69r,160,4/4,Cm,minor,10m,47,1,1.0000,matched
Ghost,Jigolo Har Megiddo,310,2vHDXkO1-BY,https://music.youtube.com/watch?v=2vHDXkO1-BY,Ghost,Jigolo Har Megiddo,Infestissumam,239,7LoQ91,Jigolo Har Megiddo,Ghost,https://getsongbpm.com/song/jigolo-har-megiddo/7LoQ91,132,4/4,F,major,12d,46,1,1.0000,matched
Deftones,Engine No. 9,311,OC8x9_App2I,https://music.youtube.com/watch?v=OC8x9_App2I,Deftones,Engine No. 9,Adrenaline,205,pQo0p,Engine No. 9,Deftones,https://getsongbpm.com/song/engine-nopoint-9/pQo0p,186,4/4,D,major,3d,36,1,1.0000,matched
Cult Leader,The Broken Right Hand of God,313,VCLUEfDzYds,https://music.youtube.com/watch?v=VCLUEfDzYds,Cult Leader,The Broken Right Hand of God,A Patient Man,393,r2zpKw,The Broken Right Hand of God,Cult Leader,https://getsongbpm.com/song/the-broken-right-hand-of-god/r2zpKw,112,4/4,D♯m,minor,7m,21,1,1.0000,matched
Black Label Society,Rust,315,cxGZj3xLzfI,https://music.youtube.com/watch?v=cxGZj3xLzfI,Black Label Society,Rust,Stronger Than Death,369,nRzN7,Rust,Black Label Society,https://getsongbpm.com/song/rust/nRzN7,127,4/4,Bm,minor,3m,44,12,1.0000,matched
Staind,So Far Away,317,vTxFQGb3Op4,https://music.youtube.com/watch?v=vTxFQGb3Op4,Staind,So Far Away,14 Shades of Grey,245,VlPy9,So Far Away,Staind,https://getsongbpm.com/song/so-far-away/VlPy9,69,3/4,F♯,major,7d,41,2,1.0000,matched
Paysage d'Hiver,Alt,318,qF5M7GnPe-Q,https://music.youtube.com/watch?v=qF5M7GnPe-Q,Paysage d'Hiver,Alt,Im Wald,634,k2yoyX,Alt,Paysage d'Hiver,https://getsongbpm.com/song/alt/k2yoyX,,,m,minor,,,,1.0000,matched
Slowdive,Slomo,321,KDIDLIE7Z1E,https://music.youtube.com/watch?v=KDIDLIE7Z1E,Slowdive,Slomo,Slowdive,414,J8oknP,Slomo,Slowdive,https://getsongbpm.com/song/slomo/J8oknP,107,4/4,G,major,2d,19,6,1.0000,matched
Slowdive,Dagger,324,7kHqIQVxIuA,https://music.youtube.com/watch?v=7kHqIQVxIuA,Slowdive,Dagger,Souvlaki,219,wVzmg,Dagger,Slowdive,https://getsongbpm.com/song/dagger/wVzmg,73,4/4,G♯m,minor,6m,51,63,1.0000,matched
Slipknot,Prosthetics,325,sFAMuSvLG5Y,https://music.youtube.com/watch?v=sFAMuSvLG5Y,Slipknot,Prosthetics,Slipknot,299,P1n22,Prosthetics,Slipknot,https://getsongbpm.com/song/prosthetics/P1n22,146,4/4,F♯,major,7d,27,1,1.0000,matched
Queen,Bohemian Rhapsody,326,hZdiwHHxay4,https://music.youtube.com/watch?v=hZdiwHHxay4,Queen,Bohemian Rhapsody,Greatest Hits In Japan,356,Y69Dp,Bohemian Rhapsody,Queen,https://getsongbpm.com/song/bohemian-rhapsody/Y69Dp,72,4/4,A♯,major,11d,40,26,0.9411,matched
The Doors,Moonlight Drive,332,iNilmUzcB0s,https://music.youtube.com/watch?v=iNilmUzcB0s,The Doors,Moonlight Drive,Strange Days,182,Q0rjB0,Moonlight Drive,The Doors,https://getsongbpm.com/song/moonlight-drive/Q0rjB0,113,4/4,D,major,3d,62,61,1.0000,matched
