normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
Metallica,Fixxxer,1079,jDXqEMB2v2g,https://music.youtube.com/watch?v=jDXqEMB2v2g,Metallica,Fixxxer,Reload,495,YEL5W,Fixxxer,Metallica,https://getsongbpm.com/song/fixxxer/YEL5W,132,4/4,C♯,major,8d,48,1,1.0000,matched
Metallica,Slither,1080,Kl_ToFZQv2Q,https://music.youtube.com/watch?v=Kl_ToFZQv2Q,Metallica,Slither,Reload,314,OYxPQ,Slither,Metallica,https://getsongbpm.com/song/slither/OYxPQ,110,4/4,G♯,major,9d,51,1,1.0000,matched
Metallica,The Unforgiven II,1081,zjy5sq26hTc,https://music.youtube.com/watch?v=zjy5sq26hTc,Metallica,The Unforgiven II,Reload,397,M8vJR,The Unforgiven II,Metallica,https://getsongbpm.com/song/the-unforgiven-ii/M8vJR,132,4/4,G♯m,minor,6m,49,1,1.0000,matched
Metallica,The Memory Remains (feat. Marianne Faithfull),1082,r-tKBorVGbg,https://music.youtube.com/watch?v=r-tKBorVGbg,Metallica,The Memory Remains (feat. Marianne Faithfull),Reload,280,KrqLJ,The Memory Remains,Metallica,https://getsongbpm.com/song/the-memory-remains/KrqLJ,144,4/4,A♯m,minor,8m,44,1,1.0000,matched
Metallica,Fuel,1083,ttNSr4Ecdzo,https://music.youtube.com/watch?v=ttNSr4Ecdzo,Metallica,Fuel,Reload,270,J6pNv,Fuel,Metallica,https://getsongbpm.com/song/fuel/J6pNv,212,4/4,C♯,major,8d,50,1,1.0000,matched
Korn,Twisted Transistor,1084,msTVnawtLVw,https://music.youtube.com/watch?v=msTVnawtLVw,Korn,Twisted Transistor,See You On the Other Side,189,68RwmR,Twisted Transistor,Korn,https://getsongbpm.com/song/twisted-transistor/68RwmR,110,4/4,Fm,minor,9m,58,1,1.0000,matched
Enigma,From East To West,1088,AURCaf4T00A,https://music.youtube.com/watch?v=AURCaf4T00A,Enigma,From East To West,Voyageur,252,0D0y3,From East to West,Enigma,https://getsongbpm.com/song/from-east-to-west/0D0y3,121,4/4,Gm,minor,11m,66,31,1.0000,matched
Enigma,Silent Warrior,1091,JpGVFxG8UkA,https://music.youtube.com/watch?v=JpGVFxG8UkA,Enigma,Silent Warrior,The Cross Of Changes,370,9QZrYz,Silent Warrior,Enigma,https://getsongbpm.com/song/silent-warrior/9QZrYz,170,4/4,D♯m,minor,7m,54,10,1.0000,matched
Enigma,Gravity Of Love,1094,MExoMS5uHnk,https://music.youtube.com/watch?v=MExoMS5uHnk,Enigma,Gravity Of Love,The Screen Behind The Mirror,239,pY5n6,Gravity of Love,Enigma,https://getsongbpm.com/song/gravity-of-love/pY5n6,140,4/4,C♯m,minor,5m,58,14,1.0000,matched
Moby,One of These Mornings,1101,eUJGFv7AgdI,https://music.youtube.com/watch?v=eUJGFv7AgdI,Moby,One of These Mornings,18,193,w027r,One of These Mornings,Moby,https://getsongbpm.com/song/one-of-these-mornings/w027r,91,4/4,Bm,minor,3m,44,17,1.0000,matched
Depeche Mode,Enjoy the Silence,1102,Vd_nkokQwnQ,https://music.youtube.com/watch?v=Vd_nkokQwnQ,Depeche Mode,Enjoy the Silence,Violator (Deluxe),373,DkD1n,Enjoy the Silence,Depeche Mode,https://getsongbpm.com/song/enjoy-the-silence/DkD1n,112,4/4,Cm,minor,10m,65,16,0.9904,matched
Moby,Porcelain,1103,Mw3LlFb0rRA,https://music.youtube.com/watch?v=Mw3LlFb0rRA,Moby,Porcelain,Play,242,OYDGE,Porcelain,Moby,https://getsongbpm.com/song/porcelain/OYDGE,96,4/4,A♯,major,11d,30,1,1.0000,matched
Enigma,Almost Full Moon,1104,L1iGXe5bQ2M,https://music.youtube.com/watch?v=L1iGXe5bQ2M,Enigma,Almost Full Moon,"Le Roi Est Mort, Vive Le Roi!",207,86Z2Yj,Almost Full Moon,Enigma,https://getsongbpm.com/song/almost-full-moon/86Z2Yj,62,4/4,Em,minor,2m,40,8,1.0000,matched
Enigma,The Screen Behind The Mirror,1105,qQI3Zs6-fRY,https://music.youtube.com/watch?v=qQI3Zs6-fRY,Enigma,The Screen Behind The Mirror,The Screen Behind The Mirror,239,wp4xw,The Screen Behind the Mirror,Enigma,https://getsongbpm.com/song/the-screen-behind-the-mirror/wp4xw,187,4/4,C♯m,minor,5m,53,2,1.0000,matched
Enigma,Voyageur,1106,x-KbNstmJKc,https://music.youtube.com/watch?v=x-KbNstmJKc,Enigma,Voyageur,Voyageur,277,gMnVD,Voyageur,Enigma,https://getsongbpm.com/song/voyageur/gMnVD,106,4/4,Am,minor,1m,73,31,1.0000,matched
Enigma,T.N.T. For The Brain,1107,tBOm6Een0sw,https://music.youtube.com/watch?v=tBOm6Een0sw,Enigma,T.N.T. For The Brain,"Le Roi Est Mort, Vive Le Roi!",267,7LZ3JQ,T.N.T. for the Brain,Enigma,https://getsongbpm.com/song/tpointnpointtpoint-for-the-brain/7LZ3JQ,110,4/4,Em,minor,2m,56,1,1.0000,matched
Enigma,Silence Must Be Heard,1109,tCUran3CDFg,https://music.youtube.com/watch?v=tCUran3CDFg,Enigma,Silence Must Be Heard,The Screen Behind The Mirror,320,lY40l,Silence Must Be Heard,Enigma,https://getsongbpm.com/song/silence-must-be-heard/lY40l,102,4/4,Em,minor,2m,58,1,1.0000,matched
Enigma,Prism Of Life,1110,7ZGlPBkXOHI,https://music.youtube.com/watch?v=7ZGlPBkXOHI,Enigma,Prism Of Life,"Le Roi Est Mort, Vive Le Roi!",296,0VZR35,Prism of Life,Enigma,https://getsongbpm.com/song/prism-of-life/0VZR35,113,4/4,G,major,2d,51,78,1.0000,matched
America,A Horse with No Name,1112,mSZXWdKSQNM,https://music.youtube.com/watch?v=mSZXWdKSQNM,America,A Horse with No Name,America,253,5yrWAY,A Horse With No Name,America,https://getsongbpm.com/song/a-horse-with-no-name/5yrWAY,122,4/4,Bm,minor,3m,66,69,0.9453,matched
Radiohead,Karma Police,1116,nbCOAPR33ME,https://music.youtube.com/watch?v=nbCOAPR33ME,Radiohead,Karma Police,OK Computer OKNOTOK 1997 2017,262,3lGgx,Karma Police,Radiohead,https://getsongbpm.com/song/karma-police/3lGgx,74,4/4,G,major,2d,36,7,0.9904,matched
Wardruna,Helvegen,1118,g1RJv-27i6Q,https://music.youtube.com/watch?v=g1RJv-27i6Q,Wardruna,Helvegen,Runaljod – Yggdrasil,432,1rXQRV,Helvegen,Wardruna,https://getsongbpm.com/song/helvegen/1rXQRV,100,4/4,F,major,12d,24,66,1.0000,matched
Enigma,20.000 Miles Over The Sea,1119,FGr0GbAbloU,https://music.youtube.com/watch?v=FGr0GbAbloU,Enigma,20.000 Miles Over The Sea,A Posteriori,264,zplzpO,20.000 Miles Over the Sea,Enigma,https://getsongbpm.com/song/20point000-miles-over-the-sea/zplzpO,148,4/4,Em,minor,2m,59,88,1.0000,matched
Enigma,Push The Limits,1123,YhQ5zYxmCzo,https://music.youtube.com/watch?v=YhQ5zYxmCzo,Enigma,Push The Limits,The Screen Behind The Mirror,387,o24mK,Push the Limits,Enigma,https://getsongbpm.com/song/push-the-limits/o24mK,98,4/4,D,major,3d,57,2,1.0000,matched
Umberto Tozzi,Ti Amo,1125,kjvSAaRgt5I,https://music.youtube.com/watch?v=kjvSAaRgt5I,Umberto Tozzi,Ti Amo,E' nell' aria…ti amo,246,Dm076,Ti amo,Umberto Tozzi,https://getsongbpm.com/song/ti-amo/Dm076,185,3/4,A,major,4d,29,62,0.9953,matched
Wardruna,Solringen,1132,kAKTQ6t7pzE,https://music.youtube.com/watch?v=kAKTQ6t7pzE,Wardruna,Solringen,Runaljod – Yggdrasil,391,Yv10gM,Solringen,Wardruna,https://getsongbpm.com/song/solringen/Yv10gM,124,4/4,Cm,minor,10m,37,43,1.0000,matched
РУСЛАНА,Wild Energy,1147,yxXdQWcsh8o,https://music.youtube.com/watch?v=yxXdQWcsh8o,РУСЛАНА,Wild Energy,Wild Energy,243,Q0BO1L,Wild Energy,Руслана,https://getsongbpm.com/song/wild-energy/Q0BO1L,150,4/4,C♯,major,8d,73,28,1.0000,matched
Funeral Mist,Metamorphosis,1159,P-c78Ol5VPk,https://music.youtube.com/watch?v=P-c78Ol5VPk,Funeral Mist,Metamorphosis,Hekatomb,455,Qk4y39,Metamorphosis,Funeral Mist,https://getsongbpm.com/song/metamorphosis/Qk4y39,45,4/4,A,major,4d,13,1,1.0000,matched
Батюшка,Песнь 1,1168,jVO6sY_CVYc,https://music.youtube.com/watch?v=jVO6sY_CVYc,Батюшка,Песнь 1,Панихида,249,MZkYL5,Песнь 1 (Молитва),Батюшка,https://getsongbpm.com/song/pesn-1-molitva/MZkYL5,,,m,minor,,,,0.8717,matched
Sidewalks and Skeletons,White Light,1169,QAmvQeyTAOI,https://music.youtube.com/watch?v=QAmvQeyTAOI,Sidewalks and Skeletons,White Light,White Light,265,1WgB5q,White Light,Sidewalks and Skeletons,https://getsongbpm.com/song/white-light/1WgB5q,124,4/4,C,major,1d,22,1,1.0000,matched
System Of A Down,Streamline,1171,WkCeY4HK1xk,https://music.youtube.com/watch?v=WkCeY4HK1xk,System Of A Down,Streamline,Steal This Album!,218,09RnG,Streamline,System of a Down,https://getsongbpm.com/song/streamline/09RnG,130,3/4,C,major,1d,40,1,1.0000,matched
The HU,The Great Chinggis Khaan,1176,dPZSApUiQuU,https://music.youtube.com/watch?v=dPZSApUiQuU,The HU,The Great Chinggis Khaan,The Gereg (Deluxe Edition),273,gpRArk,The Great Chinggis Khaan,The HU,https://getsongbpm.com/song/the-great-chinggis-khaan/gpRArk,177,3/4,G♯,major,9d,43,5,0.9904,matched
Mr.Kitty,Hold Me Down,1178,vfmvwFL7iaw,https://music.youtube.com/watch?v=vfmvwFL7iaw,Mr.Kitty,Hold Me Down,Time,237,mO5qzr,Hold Me Down,Mr.Kitty,https://getsongbpm.com/song/hold-me-down/mO5qzr,134,4/4,D♯,major,10d,47,1,1.0000,matched
Johnny Cash,Hurt,1181,gSS2IgnnBo8,https://music.youtube.com/watch?v=gSS2IgnnBo8,Johnny Cash,Hurt,American IV: The Man Comes Around,217,l7G45,Hurt,Johnny Cash,https://getsongbpm.com/song/hurt/l7G45,92,4/4,Am,minor,1m,55,72,1.0000,matched
Mgła,Exercises in Futility IV,1183,HN7-DmTtNdM,https://music.youtube.com/watch?v=HN7-DmTtNdM,Mgła,Exercises in Futility IV,Exercises in Futility,286,XrPBEA,Exercises in Futility IV,Mgła,https://getsongbpm.com/song/exercises-in-futility-iv/XrPBEA,150,4/4,Gm,minor,11m,28,1,1.0000,matched
DakhaBrakha,Baby,1201,h7wB8qWdmcA,https://music.youtube.com/watch?v=h7wB8qWdmcA,DakhaBrakha,Baby,Light,444,r01Qj4,Baby,DakhaBrakha,https://getsongbpm.com/song/baby/r01Qj4,130,4/4,G,major,2d,38,58,1.0000,matched
Joe Dassin,L'été indien,1220,V1T5sewxgYk,https://music.youtube.com/watch?v=V1T5sewxgYk,Joe Dassin,L'été indien,Taka Takata,271,pg0R51,L'été indien,Joe Dassin,https://getsongbpm.com/song/l-ete-indien/pg0R51,121,4/4,Gm,minor,11m,48,17,1.0000,matched
Beach House,Space Song,1223,uSDWUx7S8dw,https://music.youtube.com/watch?v=uSDWUx7S8dw,Beach House,Space Song,Depression Cherry,321,VAgGwz,Space Song,Beach House,https://getsongbpm.com/song/space-song/VAgGwz,73,4/4,Cm,minor,10m,51,22,1.0000,matched
Adriano Celentano,Confessa,1226,7uyX3xMc0Do,https://music.youtube.com/watch?v=7uyX3xMc0Do,Adriano Celentano,Confessa,Per Sempre,311,7Xl3G,Confessa,Adriano Celentano,https://getsongbpm.com/song/confessa/7Xl3G,119,4/4,Bm,minor,3m,59,7,1.0000,matched
Adriano Celentano,Susanna,1232,_jz7Csk0fCs,https://music.youtube.com/watch?v=_jz7Csk0fCs,Adriano Celentano,Susanna,I Miei Americani (Tre Puntini),288,gp70XZ,Susanna,Adriano Celentano,https://getsongbpm.com/song/susanna/gp70XZ,93,4/4,Am,minor,1m,66,72,1.0000,matched
Igorrr,Himalaya Massive Ritual,1235,-VmaTdnL0ek,https://music.youtube.com/watch?v=-VmaTdnL0ek,Igorrr,Himalaya Massive Ritual,Spirituality and Distortion,427,jYxvkR,Himalaya Massive Ritual,Igorrr,https://getsongbpm.com/song/himalaya-massive-ritual/jYxvkR,,,m,minor,,,,1.0000,matched
Al Bano & Romina Power,Libertà,1241,s9keQh_dcnU,https://music.youtube.com/watch?v=s9keQh_dcnU,Al Bano & Romina Power,Libertà,Liberta,267,DkMrPx,Libertà!,Al Bano & Romina Power,https://getsongbpm.com/song/libertaexclamation/DkMrPx,186,4/4,Gm,minor,11m,35,42,1.0000,matched
I Monster,Who Is She ?,1245,4WJoY2aZuVk,https://music.youtube.com/watch?v=4WJoY2aZuVk,I Monster,Who Is She ?,Neveroddoreven,214,j0AK64,Who Is She ?,I Monster,https://getsongbpm.com/song/who-is-she-question/j0AK64,152,4/4,C♯m,minor,5m,40,8,1.0000,matched
Mr.Kitty,XIII,1247,PF4mPa6MBKw,https://music.youtube.com/watch?v=PF4mPa6MBKw,Mr.Kitty,XIII,Time,217,3QN6qx,XIII,Mr.Kitty,https://getsongbpm.com/song/xiii/3QN6qx,130,3/4,Bm,minor,3m,48,1,1.0000,matched
Radiohead,House Of Cards,1249,Nng0aSsq_XE,https://music.youtube.com/watch?v=Nng0aSsq_XE,Radiohead,House Of Cards,In Rainbows,329,NkgBR8,House of Cards,Radiohead,https://getsongbpm.com/song/house-of-cards/NkgBR8,111,4/4,F,major,12d,71,28,1.0000,matched
Radiohead,No Surprises,1250,7374CZQoS2Y,https://music.youtube.com/watch?v=7374CZQoS2Y,Radiohead,No Surprises,OK Computer OKNOTOK 1997 2017,229,76kmr,No Surprises,Radiohead,https://getsongbpm.com/song/no-surprises/76kmr,74,4/4,F,major,12d,26,6,0.9904,matched
Lana Del Rey,Lust For Life (feat. The Weeknd),1252,LCQ_1RyoD5Y,https://music.youtube.com/watch?v=LCQ_1RyoD5Y,Lana Del Rey,Lust For Life (feat. The Weeknd),Lust For Life,265,GRj9QL,Lust For Life (with The Weeknd),Lana Del Rey,https://getsongbpm.com/song/lust-for-life-with-the-weeknd/GRj9QL,99,4/4,Cm,minor,10m,51,61,0.9304,matched
Lana Del Rey,Video Games,1254,mhr4YecSV_Y,https://music.youtube.com/watch?v=mhr4YecSV_Y,Lana Del Rey,Video Games,Born To Die - The Paradise Edition (Special Version),282,MQ612R,Video Games (remastered),Lana Del Rey,https://getsongbpm.com/song/video-games-remastered/MQ612R,41,5/4,F♯m,minor,4m,26,82,0.9208,matched
Lana Del Rey,Born To Die,1255,pOm2JieAuCA,https://music.youtube.com/watch?v=pOm2JieAuCA,Lana Del Rey,Born To Die,Born To Die - The Paradise Edition,286,JqRQ2v,Born to Die,Lana Del Rey,https://getsongbpm.com/song/born-to-die/JqRQ2v,86,4/4,Em,minor,2m,43,23,0.9904,matched
Sade,Smooth Operator (Single Version),1261,mRNcPbCJNJ8,https://music.youtube.com/watch?v=mRNcPbCJNJ8,Sade,Smooth Operator (Single Version),The Best of Sade,259,P1njP1,Smooth Operator,Sade,https://getsongbpm.com/song/smooth-operator/P1njP1,119,4/4,Am,minor,1m,69,8,0.8675,matched
Garou,Gitan,1279,m_OrlxQaKlA,https://music.youtube.com/watch?v=m_OrlxQaKlA,Garou,Gitan,Seul,246,0VjKP3,Gitan,Garou,https://getsongbpm.com/song/gitan/0VjKP3,158,4/4,Bm,minor,3m,49,5,1.0000,matched
Igorrr,Problème d'émotion,1281,mzv3hfcTGCU,https://music.youtube.com/watch?v=mzv3hfcTGCU,Igorrr,Problème d'émotion,Savage Sinusoid,279,k2mQZK,Problème d'émotion,Igorrr,https://getsongbpm.com/song/probleme-d-emotion/k2mQZK,76,3/4,G♯m,minor,6m,22,15,1.0000,matched
Satyricon,Black Crow on a Tombstone,1282,1GXY4tSgCp0,https://music.youtube.com/watch?v=1GXY4tSgCp0,Satyricon,Black Crow on a Tombstone,The Age Of Nero,233,ADyoEz,Black Crow on a Tombstone,Satyricon,https://getsongbpm.com/song/black-crow-on-a-tombstone/ADyoEz,119,4/4,G,major,2d,63,1,1.0000,matched
Батюшка,Песнь 5,1283,XVBkYi7FoPs,https://music.youtube.com/watch?v=XVBkYi7FoPs,Батюшка,Песнь 5,Панихида,334,Qko3PL,Песнь 5,Батюшка,https://getsongbpm.com/song/pesn-5/Qko3PL,,,m,minor,,,,0.9413,matched
Moby,Extreme Ways,1287,FmHxcFkajw0,https://music.youtube.com/watch?v=FmHxcFkajw0,Moby,Extreme Ways,18,238,z6QYq,Extreme Ways,Moby,https://getsongbpm.com/song/extreme-ways/z6QYq,99,4/4,Am,minor,1m,52,1,1.0000,matched
Rivers of Nihil,Sand Baptism,1299,BaT6qUGKLbg,https://music.youtube.com/watch?v=BaT6qUGKLbg,Rivers of Nihil,Sand Baptism,Monarchy,290,QkWWR0,Sand Baptism,Rivers of Nihil,https://getsongbpm.com/song/sand-baptism/QkWWR0,120,4/4,C♯,major,8d,43,1,1.0000,matched
Океан Ельзи,911,1324,dbq3tILUPmg,https://music.youtube.com/watch?v=dbq3tILUPmg,Океан Ельзи,911,Модель,210,5KD58,911,Океан Ельзи,https://getsongbpm.com/song/911/5KD58,120,4/4,Cm,minor,10m,79,19,1.0000,matched
Moby,Why Does My Heart Feel So Bad?,1326,DLQoFcEF6Ws,https://music.youtube.com/watch?v=DLQoFcEF6Ws,Moby,Why Does My Heart Feel So Bad?,Play,265,PNEG6,Why Does My Heart Feel So Bad?,Moby,https://getsongbpm.com/song/why-does-my-heart-feel-so-badquestion/PNEG6,98,4/4,G,major,2d,60,1,1.0000,matched
Dying Fetus,Second Skin,1330,gWBbtwdvw4A,https://music.youtube.com/watch?v=gWBbtwdvw4A,Dying Fetus,Second Skin,Reign Supreme (Deluxe Version),283,L8WEvw,Second Skin,Dying Fetus,https://getsongbpm.com/song/second-skin/L8WEvw,109,4/4,C♯,major,8d,31,1,0.9904,matched
Satyricon,To Your Brethren in the Dark,1331,KpvGI-JmV-c,https://music.youtube.com/watch?v=KpvGI-JmV-c,Satyricon,To Your Brethren in the Dark,Deep Calleth Upon Deep,368,WPD0PJ,To Your Brethren In The Dark,Satyricon,https://getsongbpm.com/song/to-your-brethren-in-the-dark/WPD0PJ,109,4/4,Gm,minor,11m,43,1,1.0000,matched
Loreena McKennitt,The Mystic's Dream,1341,7hhV4nrs7gk,https://music.youtube.com/watch?v=7hhV4nrs7gk,Loreena McKennitt,The Mystic's Dream,The Mask and Mirror,464,ADMmzB,The Mystic's Dream,Loreena McKennitt,https://getsongbpm.com/song/the-mystic-s-dream/ADMmzB,112,4/4,G,major,2d,30,67,1.0000,matched
Sting,Desert Rose (feat. Cheb Mami),1342,FiApCJWwgOs,https://music.youtube.com/watch?v=FiApCJWwgOs,Sting,Desert Rose (feat. Cheb Mami),Brand New Day,286,KOR5z,Desert Rose,Sting,https://getsongbpm.com/song/desert-rose/KOR5z,111,4/4,Cm,minor,10m,59,2,1.0000,matched
System Of A Down,Violent Pornography,1343,KP_fR-Uh4OI,https://music.youtube.com/watch?v=KP_fR-Uh4OI,System Of A Down,Violent Pornography,Mezmerize,212,wov6g,Violent Pornography,System of a Down,https://getsongbpm.com/song/violent-pornography/wov6g,144,4/4,F♯,major,7d,46,3,1.0000,matched
System Of A Down,ATWA,1345,Ph8Qt3DHVwo,https://music.youtube.com/watch?v=Ph8Qt3DHVwo,System Of A Down,ATWA,Toxicity,177,RwPyO,ATWA,System of a Down,https://getsongbpm.com/song/atwa/RwPyO,87,4/4,Fm,minor,9m,38,1,1.0000,matched
Батюшка,Песнь 2,1350,-W0aJf5rjEk,https://music.youtube.com/watch?v=-W0aJf5rjEk,Батюшка,Песнь 2,Панихида,461,NOlZMp,Песнь 2,Батюшка,https://getsongbpm.com/song/pesn-2/NOlZMp,,,m,minor,,,,0.9413,matched
Radiohead,Black Star,1356,d7lbzUUXj0k,https://music.youtube.com/watch?v=d7lbzUUXj0k,Radiohead,Black Star,The Bends,248,AD0R1,Black Star,Radiohead,https://getsongbpm.com/song/black-star/AD0R1,158,4/4,G,major,2d,29,1,1.0000,matched
Radiohead,Street Spirit (Fade Out),1357,2y6kop0VTXY,https://music.youtube.com/watch?v=2y6kop0VTXY,Radiohead,Street Spirit (Fade Out),The Bends,254,DkmXY,Street Spirit (Fade Out),Radiohead,https://getsongbpm.com/song/street-spirit-fade-out/DkmXY,69,4/4,Am,minor,1m,49,32,1.0000,matched
Fear Factory,Linchpin,1362,NCt5LqvZKbM,https://music.youtube.com/watch?v=NCt5LqvZKbM,Fear Factory,Linchpin,Digimortal,205,28M4z,Linchpin,Fear Factory,https://getsongbpm.com/song/linchpin/28M4z,111,4/4,C,major,1d,70,1,1.0000,matched
Advent Sorrow,Pestilence Shall Come,1366,yEeXq5Rn320,https://music.youtube.com/watch?v=yEeXq5Rn320,Advent Sorrow,Pestilence Shall Come,Pestilence Shall Come,354,r2joR6,Pestilence Shall Come,Advent Sorrow,https://getsongbpm.com/song/pestilence-shall-come/r2joR6,149,4/4,C♯m,minor,5m,12,1,0.9422,matched
Mastodon,Steambreather,1367,RlBVgsZ6Y-w,https://music.youtube.com/watch?v=RlBVgsZ6Y-w,Mastodon,Steambreather,Emperor of Sand,304,PjL9Bn,Steambreather,Mastodon,https://getsongbpm.com/song/steambreather/PjL9Bn,165,4/4,D,major,3d,36,1,1.0000,matched
Dimmu Borgir,Interdimensional Summit,1374,XT-4NaqJTb8,https://music.youtube.com/watch?v=XT-4NaqJTb8,Dimmu Borgir,Interdimensional Summit,Eonian,280,VvLkjX,Interdimensional Summit,Dimmu Borgir,https://getsongbpm.com/song/interdimensional-summit/VvLkjX,141,3/4,F♯,major,7d,44,1,1.0000,matched
Batushka,Yekteníya 5,1382,6lZUwd7rmOE,https://music.youtube.com/watch?v=6lZUwd7rmOE,Batushka,Yekteníya 5,Litourgiya,361,vQD8JV,Yekteníya 5,Batushka,https://getsongbpm.com/song/yekteniya-5/vQD8JV,,,m,minor,,,,1.0000,matched
Andrea Bocelli; Jennifer Lopez,"Quizás, Quizás, Quizás",1392,PwXBA6XTAUY,https://music.youtube.com/watch?v=PwXBA6XTAUY,Andrea Bocelli; Jennifer Lopez,"Quizás, Quizás, Quizás",Passione,198,l53A5V,"Quizás, quizás, quizás",Andrea Bocelli,https://getsongbpm.com/song/quizas-quizas-quizas/l53A5V,112,4/4,Em,minor,2m,61,88,1.0000,matched
"Plácido Domingo, Bebu Silvetti, & The VVC Symphonic Orchestra",La malagueña,1396,13yJ1ZdxHAk,https://music.youtube.com/watch?v=13yJ1ZdxHAk,"Plácido Domingo, Bebu Silvetti, & The VVC Symphonic Orchestra",La malagueña,Plácido Domingo - The Latin Album Collection,231,Q6gJq,La malagueña,Plácido Domingo,https://getsongbpm.com/song/la-malaguena/Q6gJq,100,3/4,Dm,minor,12m,46,84,0.9283,matched
Dio,Holy Diver,1405,uDtgnYZsw7A,https://music.youtube.com/watch?v=uDtgnYZsw7A,Dio,Holy Diver,Holy Diver (Deluxe Edition),351,JqvOD,Holy Diver,Dio,https://getsongbpm.com/song/holy-diver/JqvOD,92,4/4,Cm,minor,10m,48,7,0.9904,matched
Meshuggah,Dancers to a Discordant System,1406,_YOhKnPq4lU,https://music.youtube.com/watch?v=_YOhKnPq4lU,Meshuggah,Dancers to a Discordant System,ObZen,577,XDWQAV,Dancers to a Discordant System,Meshuggah,https://getsongbpm.com/song/dancers-to-a-discordant-system/XDWQAV,88,3/4,Gm,minor,11m,17,1,1.0000,matched
Meshuggah,Do Not Look Down,1407,NDstOkt5ibo,https://music.youtube.com/watch?v=NDstOkt5ibo,Meshuggah,Do Not Look Down,Koloss,284,W7wr8Q,Do Not Look Down,Meshuggah,https://getsongbpm.com/song/do-not-look-down/W7wr8Q,161,4/4,C♯,major,8d,47,1,1.0000,matched
Queensrÿche,I Don't Believe In Love (Remastered 2003),1408,_It_k1Ftj1I,https://music.youtube.com/watch?v=_It_k1Ftj1I,Queensrÿche,I Don't Believe In Love (Remastered 2003),Operation: Mindcrime (Deluxe Edition),264,D6w3K,I Don't Believe in Love,Queensrÿche,https://getsongbpm.com/song/i-don-t-believe-in-love/D6w3K,118,4/4,G,major,2d,57,4,0.9208,matched
Andrea Bocelli,Vivo Per Lei (feat. Giorgia),1425,-L6RtIEUqGE,https://music.youtube.com/watch?v=-L6RtIEUqGE,Andrea Bocelli,Vivo Per Lei (feat. Giorgia),The Best of Andrea Bocelli - 'Vivere',267,oQwEKB,Vivo per lei - Ich lebe für sie,Andrea Bocelli,https://getsongbpm.com/song/vivo-per-lei-ich-lebe-fuer-sie/oQwEKB,138,4/4,E,major,5d,59,40,0.9208,matched
Rainbow,Catch The Rainbow,1426,V5QukAC-jqE,https://music.youtube.com/watch?v=V5QukAC-jqE,Rainbow,Catch The Rainbow,Ritchie Blackmore's Rainbow,397,lxoy5,Catch the Rainbow,Rainbow,https://getsongbpm.com/song/catch-the-rainbow/lxoy5,66,4/4,Em,minor,2m,32,19,1.0000,matched
Hozier,Take Me To Church,1428,JKlYOUfviXM,https://music.youtube.com/watch?v=JKlYOUfviXM,Hozier,Take Me To Church,Hozier,242,wVvqLX,Take Me to Church,Hozier,https://getsongbpm.com/song/take-me-to-church/wVvqLX,128,4/4,Em,minor,2m,57,64,1.0000,matched
Violet Cold,Space Funeral,1431,5VxBq8BkYk8,https://music.youtube.com/watch?v=5VxBq8BkYk8,Violet Cold,Space Funeral,Kosmik,328,MoPPAm,Space Funeral,Violet Cold,https://getsongbpm.com/song/space-funeral/MoPPAm,,,m,minor,,,,1.0000,matched
The Beatles,With A Little Help From My Friends (Remastered 2009),1445,0C58ttB2-Qg,https://music.youtube.com/watch?v=0C58ttB2-Qg,The Beatles,With A Little Help From My Friends (Remastered 2009),Sgt. Pepper's Lonely Hearts Club Band,165,W7DNZW,With a Little Help From My Friends,The Beatles,https://getsongbpm.com/song/with-a-little-help-from-my-friends/W7DNZW,112,4/4,E,major,5d,71,37,0.9304,matched
The Doors,When the Music's Over,1447,nOJSmXSFCWk,https://music.youtube.com/watch?v=nOJSmXSFCWk,The Doors,When the Music's Over,Strange Days,660,XoBq25,When the Music's Over,The Doors,https://getsongbpm.com/song/when-the-music-s-over/XoBq25,98,4/4,A,major,4d,54,18,1.0000,matched
TOOL,Sober,1448,DhMv5WVOli4,https://music.youtube.com/watch?v=DhMv5WVOli4,TOOL,Sober,Undertow,307,D9o23y,Sober,Tool,https://getsongbpm.com/song/sober/D9o23y,152,4/4,Dm,minor,12m,72,1,1.0000,matched
Igorrr,Absolute Psalm,1459,MPhq3C4friw,https://music.youtube.com/watch?v=MPhq3C4friw,Igorrr,Absolute Psalm,Hallelujah,232,KZDOoz,Absolute Psalm,Igorrr,https://getsongbpm.com/song/absolute-psalm/KZDOoz,159,4/4,Em,minor,2m,29,1,1.0000,matched
Igorrr,Unpleasant Sonata,1460,xDc26K8NmnA,https://music.youtube.com/watch?v=xDc26K8NmnA,Igorrr,Unpleasant Sonata,Nostril,133,48O0kx,Unpleasant Sonata,Igorrr,https://getsongbpm.com/song/unpleasant-sonata/48O0kx,112,3/4,C♯,major,8d,59,1,1.0000,matched
Igorrr,Overweight Poesy,1461,g-ZEqNKOC3Q,https://music.youtube.com/watch?v=g-ZEqNKOC3Q,Igorrr,Overweight Poesy,Spirituality and Distortion,351,lRzvm5,Overweight Poesy,Igorrr,https://getsongbpm.com/song/overweight-poesy/lRzvm5,,,m,minor,,,,1.0000,matched
