source_position,video_id,video_url,normalized_artists,normalized_title,original_artists,original_title,album,duration_seconds,key_of,mode,tempo,time_sig,open_key,match_status,match_score,match_reason,metadata_source,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,danceability,acousticness
567,MN09OQZ2ZoQ,https://music.youtube.com/watch?v=MN09OQZ2ZoQ,Pink Floyd,Hey You,Pink Floyd,Hey You,Echoes: The Best of Pink Floyd,280,E,minor,112,4/4,2m,matched,0.9287,,GetSongBPM,nZ2vED,Hey You,Celtic Pink Floyd,https://getsongbpm.com/song/hey-you/nZ2vED,52,13
568,SUeqJR3WAlg,https://music.youtube.com/watch?v=SUeqJR3WAlg,Brian Grey,Smooth Night,Brian Grey,Smooth Night,Bittersweet,280,,,,,,missing,,manual_reject_broader,,,,,,,
569,xk7f6i0CNfs,https://music.youtube.com/watch?v=xk7f6i0CNfs,The Beatles,Don't Let Me Down (Remastered 2009),The Beatles,Don't Let Me Down (Remastered 2009),The Beatles 1967 - 1970,216,E,major,76,,,manual_entry,1.0000,,manual,,,,,,
572,v8H-MXjRB2Y,https://music.youtube.com/watch?v=v8H-MXjRB2Y,Mariah Carey,Without You,Mariah Carey,Without You,Music Box,216,F#,major,62,4/4,7d,matched,1.0000,,GetSongBPM,JZ21g,Without You,Mariah Carey,https://getsongbpm.com/song/without-you/JZ21g,58,33
573,f255k51si1o,https://music.youtube.com/watch?v=f255k51si1o,Enigma,Fata Morgana,Enigma,Fata Morgana,Seven Lives Many Faces,204,F,minor,183,4/4,9m,manual_accept,1.0000,,GetSongBPM,ADBGMO,Fata Morgana,Enigma,https://getsongbpm.com/song/fata-morgana/ADBGMO,53,30
574,X_Aygw6fWpY,https://music.youtube.com/watch?v=X_Aygw6fWpY,Enigma,Invisible Love,Enigma,Invisible Love,A Posteriori,296,A,minor,95,4/4,1m,matched,1.0000,,GetSongBPM,wpgwpz,Invisible Love,Enigma,https://getsongbpm.com/song/invisible-love/wpgwpz,68,73
575,wMo_XlE0DWg,https://music.youtube.com/watch?v=wMo_XlE0DWg,Enigma,Touchness,Enigma,Touchness,Seven Lives Many Faces,216,C,minor,177,4/4,10m,manual_accept,1.0000,,GetSongBPM,yPZG97,Touchness,Enigma,https://getsongbpm.com/song/touchness/yPZG97,39,8
576,-9Teye6IHYM,https://music.youtube.com/watch?v=-9Teye6IHYM,Snowy White; The White Flames,Riding the Blues,Snowy White; The White Flames,Riding the Blues,Realistic,227,E,minor,127,4/4,2m,matched,0.9592,,GetSongBPM,1j0XrZ,Riding the Blues,Snowy White & The White Flames,https://getsongbpm.com/song/riding-the-blues/1j0XrZ,44,51
578,CCTbRbEPoB4,https://music.youtube.com/watch?v=CCTbRbEPoB4,Ulcerate,Further Opening the Wounds,Ulcerate,Further Opening the Wounds,Cutting the Throat of God,478,,,,,,missing,,not_found,,,,,,,
579,iY_uUmjJJ68,https://music.youtube.com/watch?v=iY_uUmjJJ68,Urfaust,Trail of Conscience of the Dead,Urfaust,Trail of Conscience of the Dead,The Constellatory Practice,765,,minor,,,,matched,1.0000,,GetSongBPM,QvlKqY,Trail of Conscience of the Dead,Urfaust,https://getsongbpm.com/song/trail-of-conscience-of-the-dead/QvlKqY,,
